Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
3.73,-0.65,-10.54,-9.55,-202.00,-202.00,132,121
6.49,-0.67,-10.91,-9.85,-255.00,-255.00,118,108
6.48,-0.66,-10.68,-9.63,-168.00,-168.00,110,101
3.87,-0.62,-10.09,-9.00,58.00,58.00,105,98
0.64,-0.58,-9.44,-8.33,197.00,197.00,101,96
-2.07,-0.55,-9.00,-7.89,255.00,255.00,96,91
-1.52,-0.54,-8.79,-7.77,170.00,170.00,88,84
-1.11,-0.54,-8.74,-7.76,112.00,112.00,79,76
-0.46,-0.55,-8.91,-7.88,85.00,85.00,68,66
0.39,-0.55,-9.00,-8.02,49.00,49.00,58,56
1.21,-0.57,-9.19,-8.20,-33.00,-33.00,46,46
1.97,-0.57,-9.27,-8.28,0.00,0.00,36,37
2.67,-0.58,-9.34,-8.36,-77.00,-77.00,25,27
3.02,-0.57,-9.29,-8.31,-81.00,-81.00,16,19
2.29,-0.57,-9.22,-8.19,37.00,37.00,7,12
1.56,-0.55,-9.06,-8.01,60.00,60.00,0,5
0.77,-0.55,-8.96,-7.92,98.00,98.00,-8,-2
0.32,-0.54,-8.90,-7.82,117.00,117.00,-17,-9
0.63,-0.54,-8.86,-7.80,91.00,91.00,-26,-17
1.31,-0.54,-8.86,-7.81,76.00,76.00,-36,-26
2.10,-0.55,-8.95,-7.86,40.00,40.00,-46,-34
2.93,-0.55,-9.03,-7.93,42.00,42.00,-56,-43
3.75,-0.55,-9.06,-7.97,-31.00,-31.00,-66,-52
4.80,-0.56,-9.10,-8.03,-52.00,-52.00,-76,-61
6.09,-0.55,-9.02,-7.94,-90.00,-90.00,-84,-68
5.82,-0.54,-8.93,-7.84,0.00,0.00,-92,-75
5.49,-0.53,-8.73,-7.65,53.00,53.00,-100,-82
5.59,-0.52,-8.59,-7.50,50.00,50.00,-108,-88
5.77,-0.52,-8.47,-7.39,48.00,48.00,-115,-95
6.40,-0.51,-8.38,-7.32,-30.00,-30.00,-123,-102
7.40,-0.50,-8.24,-7.21,0.00,0.00,-130,-108
8.45,-0.49,-8.08,-7.10,-101.00,-101.00,-137,-115
8.28,-0.48,-7.87,-6.89,-74.00,-74.00,-144,-120
8.22,-0.46,-7.65,-6.66,-39.00,-39.00,-149,-125
7.77,-0.45,-7.34,-6.37,0.00,0.00,-154,-128
7.60,-0.43,-7.08,-6.07,40.00,40.00,-159,-132
7.66,-0.41,-6.80,-5.78,36.00,36.00,-164,-136
8.00,-0.40,-6.60,-5.57,0.00,0.00,-168,-139
8.21,-0.38,-6.41,-5.40,0.00,0.00,-174,-143
8.79,-0.37,-6.25,-5.17,-68.00,-68.00,-179,-147
9.31,-0.36,-6.07,-4.98,-83.00,-83.00,-183,-150
9.62,-0.34,-5.85,-4.72,-82.00,-82.00,-187,-152
9.41,-0.32,-5.57,-4.37,-61.00,-61.00,-190,-153
9.22,-0.30,-5.23,-4.00,-57.00,-57.00,-192,-154
8.92,-0.27,-4.85,-3.60,-49.00,-49.00,-194,-154
8.58,-0.25,-4.48,-3.22,-45.00,-45.00,-195,-154
8.51,-0.23,-4.13,-2.85,-53.00,-53.00,-196,-153
8.40,-0.21,-3.79,-2.54,-59.00,-59.00,-197,-153
8.39,-0.19,-3.43,-2.29,-65.00,-65.00,-197,-153
8.53,-0.17,-3.07,-2.03,-79.00,-79.00,-197,-153
8.59,-0.15,-2.74,-1.78,-88.00,-88.00,-196,-152
8.66,-0.13,-2.39,-1.56,-97.00,-97.00,-195,-152
8.91,-0.11,-2.05,-1.30,-105.00,-105.00,-194,-151
8.98,-0.09,-1.71,-1.05,-116.00,-116.00,-193,-149
8.88,-0.07,-1.32,-0.76,-119.00,-119.00,-190,-147
8.51,-0.04,-0.93,-0.44,-110.00,-110.00,-188,-144
8.16,-0.02,-0.53,0.00,-104.00,-104.00,-184,-141
7.64,0.01,-0.12,0.36,-97.00,-97.00,-180,-137
7.16,0.03,0.30,0.70,-90.00,-90.00,-176,-133
6.65,0.06,0.70,1.04,-88.00,-88.00,-172,-129
6.00,0.08,1.08,1.38,-78.00,-78.00,-167,-124
5.20,0.10,1.45,1.72,-66.00,-66.00,-162,-119
4.79,0.12,1.75,2.00,-68.00,-68.00,-157,-115
4.28,0.14,2.08,2.28,-64.00,-64.00,-152,-110
3.98,0.16,2.32,2.50,-73.00,-73.00,-147,-105
3.71,0.17,2.57,2.73,-76.00,-76.00,-142,-100
3.38,0.19,2.79,2.93,-75.00,-75.00,-137,-95
3.32,0.20,3.01,3.16,-90.00,-90.00,-132,-89
3.10,0.21,3.18,3.32,-88.00,-88.00,-126,-84
2.64,0.23,3.41,3.54,-70.00,-70.00,-121,-78
2.29,0.24,3.67,3.76,-88.00,-88.00,-115,-72
1.61,0.25,3.87,3.90,-70.00,-70.00,-109,-67
1.23,0.27,4.10,4.13,-75.00,-75.00,-102,-60
0.69,0.28,4.31,4.29,-68.00,-68.00,-96,-54
0.39,0.29,4.55,4.48,-71.00,-71.00,-88,-48
-0.05,0.30,4.73,4.60,-68.00,-68.00,-82,-41
-0.88,0.32,4.97,4.78,-52.00,-52.00,-74,-35
-1.44,0.33,5.14,4.92,-47.00,-47.00,-67,-28
-2.01,0.34,5.34,5.05,-44.00,-44.00,-60,-22
-2.97,0.34,5.47,5.12,32.00,32.00,-53,-16
-3.40,0.35,5.59,5.20,32.00,32.00,-46,-10
-3.81,0.35,5.60,5.18,34.00,34.00,-40,-5
-4.34,0.35,5.59,5.14,0.00,0.00,-34,0
-3.83,0.35,5.58,5.05,-68.00,-68.00,-28,4
-3.30,0.35,5.59,5.02,-90.00,-90.00,-22,9
-3.46,0.35,5.63,5.02,-93.00,-93.00,-16,14
-4.08,0.34,5.61,4.99,-60.00,-60.00,-10,19
-4.45,0.35,5.74,5.04,-60.00,-60.00,-3,25
-4.91,0.35,5.83,5.06,-52.00,-52.00,3,31
-5.44,0.36,5.92,5.13,-41.00,-41.00,10,37
-6.14,0.36,5.97,5.16,30.00,30.00,17,42
-6.41,0.36,6.04,5.17,-31.00,-31.00,24,48
-6.76,0.36,6.00,5.13,-30.00,-30.00,30,53
-7.12,0.36,6.00,5.11,31.00,31.00,36,58
-7.41,0.36,5.95,5.03,32.00,32.00,42,62
-7.74,0.35,5.87,4.93,35.00,35.00,47,67
-7.69,0.34,5.71,4.82,-40.00,-40.00,52,71
-7.69,0.34,5.60,4.72,-46.00,-46.00,56,75
-7.75,0.33,5.46,4.63,-48.00,-48.00,61,79
-7.76,0.32,5.39,4.57,-54.00,-54.00,66,83
-8.14,0.32,5.35,4.47,-36.00,-36.00,71,87
-8.67,0.32,5.34,4.40,0.00,0.00,77,91
-9.17,0.32,5.36,4.34,0.00,0.00,82,95
-9.87,0.31,5.30,4.22,68.00,68.00,87,98
-10.51,0.30,5.19,4.08,88.00,88.00,92,101
-10.62,0.29,4.98,3.86,73.00,73.00,95,103
-9.67,0.27,4.72,3.60,0.00,0.00,97,104
-8.94,0.25,4.47,3.31,-63.00,-63.00,99,104
-8.27,0.24,4.26,3.02,-84.00,-84.00,102,105
-7.77,0.23,4.12,2.84,-101.00,-101.00,105,106
-8.40,0.22,4.04,2.77,-52.00,-52.00,109,109
-9.33,0.22,3.97,2.68,52.00,52.00,112,111
-10.16,0.21,3.90,2.63,79.00,79.00,116,113
-10.38,0.20,3.77,2.46,75.00,75.00,118,114
-10.46,0.19,3.66,2.22,64.00,64.00,121,114
-10.00,0.18,3.41,1.99,36.00,36.00,122,114
-9.73,0.16,3.14,1.77,0.00,0.00,123,113
-9.68,0.14,2.85,1.57,42.00,42.00,123,113
-9.68,0.13,2.61,1.39,49.00,49.00,123,113
-9.85,0.12,2.33,1.25,60.00,60.00,123,113
-9.94,0.10,2.07,1.12,67.00,67.00,123,113
-10.07,0.09,1.84,0.99,76.00,76.00,122,113
-10.27,0.08,1.59,0.87,87.00,87.00,122,112
-10.49,0.06,1.31,0.68,97.00,97.00,120,111
-10.23,0.05,1.01,0.52,88.00,88.00,119,110
-9.86,0.03,0.72,0.28,78.00,78.00,116,108
-9.59,0.01,0.41,0.00,75.00,75.00,114,106
-9.19,-0.00,0.11,-0.21,70.00,70.00,111,104
-9.03,-0.02,-0.17,-0.43,75.00,75.00,108,101
-8.73,-0.04,-0.46,-0.63,72.00,72.00,105,99
-8.38,-0.05,-0.72,-0.82,68.00,68.00,102,96
-7.90,-0.07,-0.98,-1.03,60.00,60.00,98,93
-7.42,-0.08,-1.20,-1.22,52.00,52.00,95,89
-7.14,-0.09,-1.43,-1.40,45.00,45.00,91,87
-7.01,-0.10,-1.62,-1.57,62.00,62.00,88,83
-6.74,-0.11,-1.77,-1.67,58.00,58.00,85,81
-6.64,-0.12,-1.90,-1.81,66.00,66.00,81,77
-6.34,-0.13,-2.04,-1.92,61.00,61.00,78,74
-5.92,-0.14,-2.17,-2.04,52.00,52.00,74,71
-5.69,-0.14,-2.31,-2.14,54.00,54.00,71,68
-5.33,-0.15,-2.41,-2.26,156.00,156.00,67,64
-4.63,-0.16,-2.55,-2.37,123.00,123.00,63,60
-3.33,-0.18,-2.85,-2.63,62.00,62.00,57,55
-1.93,-0.19,-3.11,-2.89,-45.00,-45.00,51,50
-0.56,-0.21,-3.37,-3.15,-83.00,-83.00,45,44
0.59,-0.22,-3.48,-3.24,-118.00,-118.00,41,40
0.51,-0.22,-3.47,-3.18,-80.00,-80.00,37,38
-0.40,-0.21,-3.32,-2.99,46.00,46.00,35,36
-1.28,-0.19,-3.14,-2.82,75.00,75.00,34,35
-2.46,-0.19,-3.02,-2.70,115.00,115.00,32,33
-2.11,-0.18,-2.95,-2.65,82.00,82.00,29,31
-1.83,-0.18,-2.94,-2.65,46.00,46.00,26,28
-1.72,-0.18,-2.96,-2.67,48.00,48.00,23,25
-1.52,-0.19,-3.04,-2.68,40.00,40.00,19,22
-1.24,-0.19,-3.07,-2.70,-33.00,-33.00,15,19
-0.95,-0.19,-3.12,-2.72,0.00,0.00,12,16
-0.62,-0.19,-3.07,-2.66,-52.00,-52.00,9,14
-0.94,-0.18,-3.03,-2.58,0.00,0.00,6,12
-1.50,-0.18,-3.01,-2.49,63.00,63.00,3,10
-2.13,-0.18,-2.99,-2.43,85.00,85.00,0,8
-2.07,-0.18,-3.00,-2.45,68.00,68.00,-2,5
-1.62,-0.18,-2.99,-2.47,36.00,36.00,-5,3
-1.44,-0.18,-3.02,-2.46,41.00,41.00,-9,0
-1.35,-0.18,-3.08,-2.50,46.00,46.00,-13,-2
-0.91,-0.18,-3.09,-2.52,-32.00,-32.00,-16,-5
-0.55,-0.18,-3.05,-2.54,0.00,0.00,-19,-8
